title,studio,domestic_gross,foreign_gross,year,id,production_budget
The Back-Up Plan,CBS,37500000.0,40000000,2010.0,,
If You Are the One 2 (Fei Cheng Wu Rao II),CL,427000.0,75600000,2010.0,,
Diary of a Wimpy Kid,Fox,64000000.0,11700000,2010.0,13.0,"$15,000,000"
Easy A,SGem,58400000.0,16600000,2010.0,67.0,"$8,000,000"
Hubble 3D,WB,52400000.0,21500000,2010.0,,
Takers,SGem,57700000.0,11300000,2010.0,95.0,"$32,000,000"
Tales from Earthsea,BV,48500.0,68600000,2010.0,,
Legion (2010),SGem,40200000.0,27800000,2010.0,,
The American,Focus,35600000.0,32299999,2010.0,51.0,"$20,000,000"
The Last Exorcism,LGF,41000000.0,26700000,2010.0,15.0,"$1,800,000"
The Next Three Days,LGF,21100000.0,46300000,2010.0,49.0,"$30,000,000"
The Girl Who Played with Fire,MBox,7600000.0,59500000,2010.0,,
Skyline,Uni.,21400000.0,45400000,2010.0,99.0,"$10,000,000"
Hot Tub Time Machine,MGM,50300000.0,14300000,2010.0,10.0,"$36,000,000"
Devil,Uni.,33600000.0,29100000,2010.0,71.0,"$10,000,000"
127 Hours,FoxS,18300000.0,42400000,2010.0,6.0,"$18,000,000"
Tyler Perry's Why Did I Get Married Too?,LGF,60100000.0,578000,2010.0,,
Secretariat,BV,59700000.0,537000,2010.0,53.0,"$35,000,000"
The Ghost Writer,Sum.,15500000.0,44700000,2010.0,11.0,"$45,000,000"
Morning Glory,Par.,31000000.0,29000000,2010.0,73.0,"$40,000,000"
Remember Me,Sum.,19100000.0,37000000,2010.0,51.0,"$16,000,000"
Cop Out,WB,44900000.0,10700000,2010.0,99.0,"$37,000,000"
The Crazies,Over.,39100000.0,15700000,2010.0,36.0,"$19,000,000"
From Paris with Love,LGF,24100000.0,28700000,2010.0,,
Daybreakers,LGF,30100000.0,21300000,2010.0,67.0,"$20,000,000"
Alpha and Omega,LGF,25100000.0,25400000,2010.0,,
The Switch,Mira.,27800000.0,22100000,2010.0,39.0,"$19,000,000"
She's Out of My League,Par.,32000000.0,17800000,2010.0,62.0,"$20,000,000"
Death at a Funeral (2010),SGem,42700000.0,6300000,2010.0,,
How Do You Know,Sony,30200000.0,18500000,2010.0,,
Charlie St. Cloud,Uni.,31200000.0,17000000,2010.0,31.0,"$44,000,000"
Scott Pilgrim vs. the World,Uni.,31500000.0,16100000,2010.0,,
Heartbreaker,IFC,504000.0,46900000,2010.0,,
The Spy Next Door,LGF,24300000.0,20900000,2010.0,68.0,"$28,000,000"
"The Good, the Bad, the Weird",IFC,128000.0,44100000,2010.0,,
Machete,Fox,26600000.0,17500000,2010.0,18.0,"$12,500,000"
The Girl Who Kicked the Hornet's Nest,MBox,5200000.0,38300000,2010.0,,
The Man From Nowhere,CJ,528000.0,42500000,2010.0,,
When in Rome,BV,32700000.0,10400000,2010.0,,
My Name is Khan,FoxS,4000000.0,38300000,2010.0,52.0,"$8,470,000"
Going the Distance,WB (NL),17800000.0,24200000,2010.0,11.0,"$32,000,000"
The Concert,Wein.,658000.0,40500000,2010.0,,
Agora,NM,619000.0,38400000,2010.0,49.0,"$70,000,000"
For Colored Girls,LGF,37700000.0,17300,2010.0,67.0,"$21,000,000"
Brooklyn's Finest,Over.,27200000.0,9300000,2010.0,88.0,"$17,000,000"
Furry Vengeance,Sum.,17600000.0,18600000,2010.0,17.0,"$35,000,000"
Faster,CBS,23200000.0,12400000,2010.0,53.0,"$24,000,000"
The Kids Are All Right,Focus,20800000.0,13900000,2010.0,87.0,"$4,000,000"
You Will Meet a Tall Dark Stranger,SPC,3200000.0,31000000,2010.0,27.0,"$15,000,000"
The Secret in Their Eyes,SPC,6400000.0,27600000,2010.0,,
Avatar: Special Edition,Fox,10700000.0,22500000,2010.0,,
Leap Year,Uni.,25900000.0,6700000,2010.0,40.0,"$19,000,000"
You Again,BV,25700000.0,6300000,2010.0,78.0,"$20,000,000"
Mesrine: Killer Instinct,MBox,552000.0,30500000,2010.0,,
The Losers,WB,23600000.0,5800000,2010.0,44.0,"$25,000,000"
Case 39,ParV,13300000.0,14900000,2010.0,7.0,"$27,000,000"
Ramona and Beezus,Fox,26200000.0,1100000,2010.0,60.0,"$15,000,000"
Splice,WB,17000000.0,9800000,2010.0,63.0,"$30,000,000"
Fair Game (2010),Sum.,9500000.0,14600000,2010.0,,
Let Me In,Over.,12100000.0,12000000,2010.0,38.0,"$20,000,000"
Mao's Last Dancer,Gold.,4800000.0,17500000,2010.0,31.0,"$18,000,000"
Just Wright,FoxS,21500000.0,29900,2010.0,85.0,"$12,000,000"
Our Family Wedding,FoxS,20300000.0,1200000,2010.0,95.0,"$14,000,000"
My Soul to Take,Uni.,14700000.0,6200000,2010.0,68.0,"$25,000,000"
71 Into the Fire,JS,177000.0,20800000,2010.0,,
"I Love You, Phillip Morris",RAtt.,2000000.0,18700000,2010.0,2.0,"$13,000,000"
Country Strong,SGem,20200000.0,310000,2010.0,71.0,"$15,000,000"
Another Year,SPC,3200000.0,16500000,2010.0,8.0,"$8,000,000"
Youth in Revolt,W/Dim.,15300000.0,4400000,2010.0,13.0,"$18,000,000"
Buried,LGF,1000000.0,18100000,2010.0,2.0,"$1,987,650"
[Rec] 2,Magn.,27800.0,18500000,2010.0,13.0,"$5,600,000"
Repo Men,Uni.,13800000.0,4600000,2010.0,13.0,"$32,000,000"
A Prophet (Un prophète),SPC,2100000.0,15800000,2010.0,,
Soul Kitchen,IFC,277000.0,17600000,2010.0,3.0,"$4,900,000"
Mother (2010),Magn.,552000.0,16600000,2010.0,,
Micmacs,SPC,1300000.0,15100000,2010.0,67.0,"$42,000,000"
The Nutcracker in 3D,Free,195000.0,16000000,2010.0,79.0,"$90,000,000"
Sea Rex 3D: Journey to a Prehistoric World,3D,6100000.0,9900000,2010.0,31.0,"$5,000,000"
I Hate Luv Storys,UTV,848000.0,14900000,2010.0,,
Extraordinary Measures,CBS,12100000.0,3100000,2010.0,33.0,"$31,000,000"
Somewhere,Focus,1800000.0,12200000,2010.0,42.0,"$7,000,000"
Winter's Bone,RAtt.,6500000.0,7300000,2010.0,8.0,"$2,000,000"
The Last Station,SPC,6600000.0,6900000,2010.0,25.0,"$18,000,000"
Raajneeti,UTV,1500000.0,11100000,2010.0,,
Made in Dagenham,SPC,1100000.0,11300000,2010.0,14.0,"$8,000,000"
Blue Valentine,Wein.,9700000.0,2600000,2010.0,25.0,"$1,000,000"
Tamara Drewe,SPC,560000.0,11400000,2010.0,,
Chloe,SPC,3100000.0,8600000,2010.0,97.0,"$13,000,000"
Looking for Eric,IFC,55800.0,11500000,2010.0,,
The Warrior's Way,Rela.,5700000.0,5400000,2010.0,65.0,"$42,000,000"
I Am Love,Magn.,5000000.0,5900000,2010.0,,
Jonah Hex,WB,10500000.0,356000,2010.0,40.0,"$47,000,000"
Harry Brown,Gold.,1800000.0,8500000,2010.0,81.0,"$7,300,000"
Cyrus,FoxS,7500000.0,2500000,2010.0,27.0,"$7,000,000"
Conviction,FoxS,6800000.0,2900000,2010.0,28.0,"$12,500,000"
Get Low,SPC,9200000.0,518000,2010.0,23.0,"$7,000,000"
Babies,Focus,7300000.0,2200000,2010.0,,
Stone,Over.,1800000.0,7700000,2010.0,50.0,"$22,000,000"
Peepli Live,UTV,758000.0,8700000,2010.0,,
Never Let Me Go,FoxS,2400000.0,7000000,2010.0,29.0,"$15,000,000"
Mid-August Lunch,Zeit.,675000.0,8700000,2010.0,,
MacGruber,Uni.,8500000.0,797000,2010.0,42.0,"$10,000,000"
City Island,Anch.,6700000.0,1200000,2010.0,52.0,"$6,000,000"
Inside Job,SPC,4300000.0,3600000,2010.0,17.0,"$2,000,000"
The Joneses,RAtt.,1500000.0,5500000,2010.0,88.0,"$10,000,000"
Centurion,Magn.,124000.0,6700000,2010.0,46.0,"$15,000,000"
Animal Kingdom,SPC,1000000.0,5700000,2010.0,71.0,"$4,200,000"
Nowhere Boy,Wein.,1500000.0,5100000,2010.0,6.0,"$1,900,000"
It's Kind of a Funny Story,Focus,6400000.0,128000,2010.0,1.0,"$8,000,000"
"Waiting for ""Superman""",ParV,6400000.0,9300,2010.0,,
Greenberg,Focus,4200000.0,1900000,2010.0,,
Coco Chanel & Igor Stravinsky,SPC,1600000.0,4099999,2010.0,,
Vincere,IFC,619000.0,5100000,2010.0,,
The Illusionist (2010),SPC,2200000.0,3400000,2010.0,,
Exit Through the Gift Shop,PDA,3300000.0,2000000,2010.0,,
Mademoiselle Chambon,Lorb.,532000.0,4700000,2010.0,,
Solitary Man,Anch.,4400000.0,818000,2010.0,30.0,"$12,500,000"
Rabbit Hole,LGF,2200000.0,2900000,2010.0,52.0,"$5,000,000"
Vision,Zeit.,435000.0,4600000,2010.0,,
Mother and Child,SPC,1100000.0,3900000,2010.0,48.0,"$7,000,000"
The Runaways,App.,3600000.0,1100000,2010.0,57.0,"$9,500,000"
Four Lions,Drft.,305000.0,4400000,2010.0,79.0,"$3,750,000"
Wild Grass,SPC,404000.0,4200000,2010.0,,
Please Give,SPC,4000000.0,280000,2010.0,15.0,"$3,000,000"
Monsters,Magn.,237000.0,4000000,2010.0,50.0,"$500,000"
Rare Exports: A Christmas Tale,Osci.,236000.0,3800000,2010.0,,
The Killer Inside Me,IFC,217000.0,3800000,2010.0,11.0,"$13,000,000"
The Perfect Game,IW,1000000.0,2800000,2010.0,36.0,"$12,500,000"
To Save a Life,Gold.,3800000.0,45800,2010.0,35.0,"$500,000"
Inspector Bellamy,IFC,108000.0,3600000,2010.0,,
Catfish,Rog.,3200000.0,242000,2010.0,,
Wild Target,Free,109000.0,3300000,2010.0,28.0,"$8,000,000"
Outside the Law (Hors-la-loi),,96900.0,3300000,2010.0,,
Frozen (2010),Anch.,246000.0,2900000,2010.0,,
Dabangg,Eros,1300000.0,1700000,2010.0,,
Kites,Relbig.,1600000.0,1300000,2010.0,66.0,"$9,200,000"
Letters to God,Viv.,2800000.0,60300,2010.0,25.0,"$3,000,000"
Twelve,Hann.,184000.0,2400000,2010.0,,
Tees Maar Khan,UTV,1100000.0,1400000,2010.0,,
Fish Tank,IFC,375000.0,2000000,2010.0,36.0,"$3,000,000"
Housefull,Eros,1200000.0,1200000,2010.0,34.0,"$10,100,000"
Golmaal 3,Eros,1100000.0,935000,2010.0,,
After.Life,Anch.,109000.0,1900000,2010.0,49.0,"$4,500,000"
Cairo Time,IFC,1600000.0,391000,2010.0,,
Flipped,WB,1800000.0,,2010.0,22.0,"$14,000,000"
Guzaarish,UTV,1000000.0,695000,2010.0,,
Ondine,Magn.,550000.0,1100000,2010.0,35.0,"$12,000,000"
Anjaana Anjaani,Eros,855000.0,761000,2010.0,,
John Rabe,Strand,67500.0,1400000,2010.0,,
Restrepo,NGE,1300000.0,105000,2010.0,,
Raavan,Relbig.,709000.0,648000,2010.0,,
The City of Your Final Destination,Scre.,493000.0,859000,2010.0,57.0,"$8,300,000"
It's a Wonderful Afterlife,UTV,,1300000,2010.0,36.0,"$10,000,000"
Ajami,Kino,622000.0,669000,2010.0,60.0,"$1,000,000"
Army of Crime,Lorb.,37000.0,1200000,2010.0,,
Lebanon,SPC,368000.0,830000,2010.0,,
Howl,Osci.,617000.0,566000,2010.0,,
Videocracy,Kino,23700.0,1200000,2010.0,,
When You're Strange,Abr.,246000.0,901000,2010.0,,
The Salvation Poem (Poema de Salvacion),CZ,915000.0,183000,2010.0,,
Casino Jack,ATO,1000000.0,40700,2010.0,32.0,"$12,500,000"
Leaving,IFC,176000.0,893000,2010.0,,
Khatta Meetha,Eros,542000.0,499000,2010.0,,
We Are Family,UTV,638000.0,393000,2010.0,,
Leaves of Grass,First,70100.0,949000,2010.0,17.0,"$9,000,000"
North Face,MBox,711000.0,216000,2010.0,,
Creation,NM,341000.0,555000,2010.0,,
No One Knows About Persian Cats,IFC,81800.0,798000,2010.0,,
Carlos,IFC,146000.0,726000,2010.0,47.0,"$18,000,000"
Hideaway (Le Refuge),Strand,34500.0,837000,2010.0,,
The Disappearance of Alice Creed,Anch.,167000.0,701000,2010.0,97.0,"$1,500,000"
Break Ke Baad,Relbig.,428000.0,389000,2010.0,,
Veer (2010),Eros,527000.0,277000,2010.0,,
Life During Wartime,IFC,281000.0,487000,2010.0,44.0,"$4,500,000"
Enter the Void,IFC,336000.0,418000,2010.0,77.0,"$16,000,000"
The Secret of Kells,GK,677000.0,62700,2010.0,17.0,"$8,000,000"
The Polar Express (IMAX re-issue 2010),WB,673000.0,,2010.0,,
No Problem,Eros,285000.0,369000,2010.0,,
All Good Things,Magn.,582000.0,62500,2010.0,96.0,"$20,000,000"
Jack Goes Boating,Over.,542000.0,77600,2010.0,,
Holy Rollers,FInd.,303000.0,305000,2010.0,,
Chain Letter,NFC,139000.0,447000,2010.0,43.0,"$3,000,000"
I Spit on Your Grave,Anch.,93100.0,480000,2010.0,37.0,"$1,750,000"
I'm Still Here,Magn.,409000.0,160000,2010.0,,
Salt of this Sea,Lorb.,11700.0,545000,2010.0,,
Undertow (2010),TFC,109000.0,393000,2010.0,,
Father of My Children,IFC,144000.0,335000,2010.0,,
The Greatest (2010),Pala.,115000.0,359000,2010.0,,
The Extra Man,Magn.,453000.0,4500,2010.0,53.0,"$7,000,000"
Tiny Furniture,IFC,392000.0,,2010.0,18.0,"$50,000"
Dogtooth,Kino,110000.0,274000,2010.0,,
Grease (Sing-a-Long re-issue),Par.,366000.0,,2010.0,,
The Tempest,Mira.,278000.0,68700,2010.0,1.0,"$20,000,000"
The Good Heart,Magn.,20900.0,323000,2010.0,73.0,"$3,800,000"
Formosa Betrayed,Scre.,225000.0,101000,2010.0,,
Red Hill,Strand,21100.0,300000,2010.0,,
Welcome to the Rileys,Gold.,159000.0,158000,2010.0,12.0,"$10,000,000"
"A Woman, A Gun and A Noodle Shop",SPC,191000.0,121000,2010.0,,
The Girl on the Train,Strand,208000.0,97100,2010.0,68.0,"$45,000,000"
Mesrine: Public Enemy No. 1,MBox,275000.0,28100,2010.0,,
44 Inch Chest,Imag.,39000.0,255000,2010.0,,
Karthik Calling Karthik,Eros,286000.0,7100,2010.0,,
Last Train Home,Zeit.,288000.0,,2010.0,,
Eyes Wide Open,NAV,26300.0,250000,2010.0,,
Waste Land,Arth.,188000.0,88700,2010.0,,
South of the Border,CLS,199000.0,70800,2010.0,,
Human Centipede,IFC,181000.0,70700,2010.0,,
"Lovely, Still",Mont.,128000.0,106000,2010.0,72.0,"$5,000,000"
The Girl (Flickan),Olive,2200.0,229000,2010.0,,
Sweetgrass,CGld,207000.0,,2010.0,,
Bitch Slap,Free,17400.0,182000,2010.0,,
Chance Pe Dance,UTV,169000.0,24300,2010.0,,
Client 9: The Rise and Fall of Eliot Spitzer,Magn.,189000.0,3500,2010.0,,
Casino Jack and the United States of Money,Magn.,177000.0,,2010.0,,
Perrier's Bounty,IFC,800.0,167000,2010.0,,
Around a Small Mountain,CGld,33200.0,131000,2010.0,,
Spring Fever,Strand,10800.0,150000,2010.0,,
The Eclipse,Magn.,133000.0,26400,2010.0,46.0,"$3,000,000"
George A. Romero's Survival of the Dead,Magn.,102000.0,41500,2010.0,72.0,"$4,200,000"
The Romantics,FOAK,107000.0,17300,2010.0,,
Celine: Through the Eyes of the World,Sony,,119000,2010.0,,
Freakonomics,Magn.,101000.0,16400,2010.0,80.0,"$2,900,000"
Saint John of Las Vegas,IVP,103000.0,9100,2010.0,55.0,"$2,000,000"
Band Baaja Baaraat,Yash,43800.0,60700,2010.0,,
White Lion,Scre.,,99600,2010.0,,
Kisses,Osci.,81700.0,15300,2010.0,,
Waking Sleeping Beauty,BV,80700.0,4200,2010.0,,
Enemies of the People,ICir,73200.0,6400,2010.0,,
Badmaash Company,Yash,,64400,2010.0,,
Hadewijch,IFC,5000.0,57500,2010.0,,
Alamar,FM,61600.0,,2010.0,,
As Good as Dead,First,2000.0,53600,2010.0,,
Inhale,IFC,4100.0,51000,2010.0,,
Hatchet 2,Vita.,52600.0,,2010.0,,
District B13: Ultimatum,Magn.,36100.0,16200,2010.0,,
GasLand,WOW,30800.0,18600,2010.0,,
Boogie Woogie,IFC,2600.0,44900,2010.0,,
Come Undone (2010),FM,10000.0,31300,2010.0,,
The Red Baron,Mont.,37200.0,3100,2010.0,,
Bluebeard,Strand,33500.0,5200,2010.0,,
Bluebeard,WGUSA,43100.0,,2017.0,,
Daddy Longlegs,IFC,21800.0,11500,2010.0,,
Living in Emergency,Truly,32200.0,,2010.0,,
Nenette,Kino,18000.0,5400,2010.0,,
Picture Me,Strand,12000.0,10400,2010.0,,
The Thorn in the Heart,Osci.,7400.0,10500,2010.0,,
The Taqwacores,Strand,11400.0,,2010.0,,
Cherry,Abr.,11400.0,,2010.0,,
Terkel in Trouble,Indic.,10800.0,,2010.0,,
Kimjongilia,Lorb.,4400.0,,2010.0,,
Aashayein (Wishes),Relbig.,,3800,2010.0,,
Harry Potter and the Deathly Hallows Part 2,WB,381000000.0,960500000,2011.0,,
Transformers: Dark of the Moon,P/DW,352400000.0,771400000,2011.0,64.0,"$195,000,000"
Pirates of the Caribbean: On Stranger Tides,BV,241100000.0,804600000,2011.0,2.0,"$410,600,000"
The Twilight Saga: Breaking Dawn Part 1,Sum.,281300000.0,430900000,2011.0,,
Mission: Impossible - Ghost Protocol,Par.,209400000.0,485300000,2011.0,,
Kung Fu Panda 2,P/DW,165200000.0,500400000,2011.0,74.0,"$150,000,000"
Fast Five,Uni.,209800000.0,416300000,2011.0,67.0,"$125,000,000"
The Hangover Part II,WB,254500000.0,332300000,2011.0,39.0,"$80,000,000"
The Smurfs,Sony,142600000.0,421100000,2011.0,20.0,"$110,000,000"
Cars 2,BV,191500000.0,370700000,2011.0,57.0,"$200,000,000"
Puss in Boots,P/DW,149300000.0,405700000,2011.0,46.0,"$130,000,000"
Sherlock Holmes: A Game of Shadows,WB,186800000.0,358600000,2011.0,69.0,"$125,000,000"
Rio,Fox,143600000.0,341000000,2011.0,46.0,"$90,000,000"
Rise of the Planet of the Apes,Fox,176800000.0,305000000,2011.0,31.0,"$93,000,000"
Thor,Par.,181000000.0,268300000,2011.0,70.0,"$150,000,000"
The Adventures of Tintin,Par.,77600000.0,296400000,2011.0,52.0,"$130,000,000"
Captain America: The First Avenger,Par.,176700000.0,193900000,2011.0,10.0,"$140,000,000"
X-Men: First Class,Fox,146400000.0,207200000,2011.0,42.0,"$160,000,000"
Alvin and the Chipmunks: Chipwrecked,Fox,133100000.0,209600000,2011.0,49.0,"$80,000,000"
Real Steel,BV,85500000.0,213800000,2011.0,31.0,"$110,000,000"
Bridesmaids,Uni.,169100000.0,119300000,2011.0,85.0,"$32,500,000"
Super 8,Par.,127000000.0,133100000,2011.0,93.0,"$50,000,000"
Rango,Par.,123500000.0,122200000,2011.0,29.0,"$135,000,000"
The Girl with the Dragon Tattoo (2011),Sony,102500000.0,130100000,2011.0,,
The Green Hornet,Sony,98800000.0,129000000,2011.0,29.0,"$110,000,000"
Immortals,Rela.,83500000.0,143400000,2011.0,45.0,"$75,000,000"
Green Lantern,WB,116600000.0,103300000,2011.0,62.0,"$200,000,000"
The Help,BV,169700000.0,46900000,2011.0,63.0,"$25,000,000"
Bad Teacher,Sony,100300000.0,115900000,2011.0,27.0,"$19,000,000"
Just Go With It,Sony,103000000.0,111900000,2011.0,58.0,"$80,000,000"
Battle: Los Angeles,Sony,83600000.0,128300000,2011.0,10.0,"$70,000,000"
Horrible Bosses,WB (NL),117500000.0,92100000,2011.0,34.0,"$35,000,000"
Paranormal Activity 3,Par.,104000000.0,103000000,2011.0,51.0,"$5,000,000"
Gnomeo and Juliet,BV,100000000.0,94000000,2011.0,6.0,"$36,000,000"
Mr. Popper's Penguins,Fox,68200000.0,119100000,2011.0,,
Hugo,Par.,73900000.0,111900000,2011.0,89.0,"$180,000,000"
The Lion King (in 3D),BV,94200000.0,91300000,2011.0,,
Hop,Uni.,108100000.0,75900000,2011.0,27.0,"$63,000,000"
War Horse,BV,79900000.0,97700000,2011.0,12.0,"$70,000,000"
The Descendants,FoxS,82600000.0,94700000,2011.0,5.0,"$20,000,000"
Cowboys & Aliens,Uni.,100200000.0,74600000,2011.0,,
In Time,Fox,37500000.0,136400000,2011.0,74.0,"$35,000,000"
Zookeeper,Sony,80400000.0,89500000,2011.0,71.0,"$80,000,000"
The Muppets,BV,88600000.0,76600000,2011.0,64.0,"$45,000,000"
Limitless,Rela.,79200000.0,82600000,2011.0,91.0,"$27,000,000"
Johnny English Reborn,Uni.,8300000.0,151800000,2011.0,19.0,"$45,000,000"
Final Destination 5,WB (NL),42600000.0,115300000,2011.0,49.0,"$40,000,000"
Tower Heist,Uni.,78000000.0,74900000,2011.0,5.0,"$85,000,000"
Midnight in Paris,SPC,56800000.0,94300000,2011.0,83.0,"$30,000,000"
Happy Feet Two,WB,64000000.0,86400000,2011.0,33.0,"$135,000,000"
I Am Number Four,BV,55100000.0,94800000,2011.0,,
Jack and Jill,Sony,74200000.0,75500000,2011.0,11.0,"$79,000,000"
Friends with Benefits,SGem,55800000.0,93700000,2011.0,55.0,"$35,000,000"
No Strings Attached,Par.,70700000.0,78600000,2011.0,84.0,"$25,000,000"
Arthur Christmas,Sony,46500000.0,101000000,2011.0,14.0,"$85,000,000"
Source Code,Sum.,54700000.0,92600000,2011.0,96.0,"$32,000,000"
"Crazy, Stupid, Love.",WB,84400000.0,58500000,2011.0,,
New Year's Eve,WB (NL),54500000.0,87500000,2011.0,,
